Airdate,Type,Viewers,sunday_night_football
10/31/2010,Premiere,5.35,Y
11/7/2010,New,4.71,Y
11/14/2010,New,5.07,Y
11/21/2010,New,4.75,Y
11/28/2010,New,5.56,Y
12/5/2010,Finale,5.97,Y
10/16/2011,Premiere,7.26,Y
10/23/2011,New,6.7,Y
10/30/2011,New,6.1,Y
11/6/2011,New,6.29,Y
11/13/2011,New,6.12,Y
11/20/2011,New,6.08,Y
11/27/2011,Finale,6.62,Y
2/12/2012,Premiere,8.1,N
2/19/2012,New,6.89,N
2/26/2012,New,7.04,N
3/4/2012,New,6.77,N
3/11/2012,New,6.89,N
3/18/2012,Finale,8.99,N
10/14/2012,Premiere,10.97,Y
10/21/2012,New,9.55,Y
10/28/2012,New,10.51,Y
11/4/2012,New,9.27,Y
11/11/2012,New,10.37,Y
11/18/2012,New,9.21,Y
11/25/2012,New,10.43,Y
12/2/2012,New,10.48,Y
2/10/2013,Premiere,12.26,N
2/17/2013,New,11.05,N
2/24/2013,New,11.01,N
3/3/2013,New,11.3,N
3/10/2013,New,11.46,N
3/17/2013,New,10.84,N
3/24/2013,New,10.99,N
3/31/2013,Finale,12.42,N
10/13/2013,Premiere,16.111,Y
10/20/2013,New,13.95,Y
10/27/2013,New,12.92,Y
11/3/2013,New,13.31,Y
11/10/2013,New,12.2,Y
11/17/2013,New,12,Y
11/24/2013,New,11.29,Y
12/1/2013,Finale,12.05,Y
2/9/2014,Premiere,15.76,N
2/16/2014,New,13.34,N
2/23/2014,New,13.12,N
3/2/2014,New,12.61,N
3/9/2014,New,12.65,N
3/16/2014,New,12.87,N
3/23/2014,New,13.47,N
3/30/2014,Finale,15.68,N
10/12/2014,Premiere,17.3,Y
10/19/2014,New,15.143,Y
10/26/2014,New,13.801,Y
11/2/2014,New,14.518,Y
11/9/2014,New,13.53,Y
11/16/2014,New,14.068,Y
11/23/2014,New,13.33,Y
11/30/2014,Finale,14.807,Y
2/8/2015,Premiere,15.643,N
2/15/2015,New,12.267,N
2/22/2015,New,13.438,N
3/1/2015,New,14.43,N
3/8/2015,New,14.534,N
3/15/2015,New,13.781,N
3/22/2015,New,13.757,N
3/29/2015,Finale,15.784,N
10/11/2015,Premiere,14.633,Y
10/18/2015,New,12.183,Y
10/25/2015,New,13.143,Y
11/1/2015,New,13.339,Y
11/8/2015,New,12.44,Y
11/15/2015,New,12.971,Y
11/22/2015,New,13.224,Y
11/29/2015,Finale,13.981,Y
2/14/2016,Premiere,13.742,N
